threads_per_block,region_dim,num_iterations,time
256,5,0,30
256,5,1,19
256,5,2,25
256,5,3,21
256,5,4,26
256,5,5,20
256,5,6,26
256,5,7,24
256,5,8,22
256,5,9,26
256,5,10,26
256,5,11,25
256,5,12,25
256,5,13,21
256,5,14,25
256,5,15,24
256,5,16,22
256,5,17,20
256,5,18,18
256,5,19,24
256,5,20,26
256,5,21,24
256,5,22,25
256,5,23,21
256,5,24,25
256,5,25,21
256,5,26,25
256,5,27,26
256,5,28,20
256,5,29,25
256,5,30,21
256,5,31,26
256,5,32,21
256,5,33,25
256,5,34,25
256,5,35,21
256,5,36,26
256,5,37,24
256,5,38,20
256,5,39,25
256,5,40,20
256,5,41,25
256,5,42,25
256,5,43,26
256,5,44,26
256,5,45,26
256,5,46,21
256,5,47,25
256,5,48,24
256,5,49,25
256,5,50,21
256,5,51,25
256,5,52,24
256,5,53,20
256,5,54,25
256,5,55,21
256,5,56,23
256,5,57,25
256,5,58,25
256,5,59,26
256,5,60,21
256,5,61,26
256,5,62,26
256,5,63,26
256,5,64,23
256,5,65,25
256,5,66,22
256,5,67,26
256,5,68,22
256,5,69,25
256,5,70,25
256,5,71,21
256,5,72,25
256,5,73,25
256,5,74,22
256,5,75,26
256,5,76,21
256,5,77,25
256,5,78,20
256,5,79,25
256,5,80,26
256,5,81,25
256,5,82,26
256,5,83,25
256,5,84,23
256,5,85,24
256,5,86,21
256,5,87,25
256,5,88,22
256,5,89,26
256,5,90,25
256,5,91,22
256,5,92,26
256,5,93,22
256,5,94,25
256,5,95,25
256,5,96,20
256,5,97,25
256,5,98,20
256,5,99,25
256,5,100,20
256,5,101,23
256,5,102,26
256,5,103,25
256,5,104,24
256,5,105,24
256,5,106,20
256,5,107,20
256,5,108,24
256,5,109,26
256,5,110,22
256,5,111,26
256,5,112,20
256,5,113,25
256,5,114,21
256,5,115,24
256,5,116,24
256,5,117,24
256,5,118,20
256,5,119,25
256,5,120,20
256,5,121,26
256,5,122,20
256,5,123,25
256,5,124,22
256,5,125,25
256,5,126,20
256,5,127,25
256,5,128,25
256,5,129,21
256,5,130,25
256,5,131,25
256,5,132,24
256,5,133,25
256,5,134,21
256,5,135,25
256,5,136,25
256,5,137,20
256,5,138,25
256,5,139,21
256,5,140,25
256,5,141,20
256,5,142,24
256,5,143,21
256,5,144,19
256,5,145,26
256,5,146,24
256,5,147,21
256,5,148,19
256,5,149,17
256,5,150,16
256,5,151,26
256,5,152,25
256,5,153,24
256,5,154,25
256,5,155,21
256,5,156,24
256,5,157,21
256,5,158,24
256,5,159,21
256,5,160,24
256,5,161,21
256,5,162,25
256,5,163,20
256,5,164,24
256,5,165,25
256,5,166,24
256,5,167,20
256,5,168,25
256,5,169,25
256,5,170,20
256,5,171,25
256,5,172,19
256,5,173,23
256,5,174,25
256,5,175,24
256,5,176,24
256,5,177,22
256,5,178,24
256,5,179,25
256,5,180,22
256,5,181,25
256,5,182,26
256,5,183,21
256,5,184,25
256,5,185,20
256,5,186,25
256,5,187,19
256,5,188,25
256,5,189,23
256,5,190,25
256,5,191,24
256,5,192,20
256,5,193,25
256,5,194,21
256,5,195,26
256,5,196,22
256,5,197,24
256,5,198,24
256,5,199,25
256,5,200,23
256,5,201,24
256,5,202,25
256,5,203,22
256,5,204,25
256,5,205,25
256,5,206,25
256,5,207,21
256,5,208,26
256,5,209,26
256,5,210,25
256,5,211,26
256,5,212,21
256,5,213,26
256,5,214,21
256,5,215,25
256,5,216,22
256,5,217,26
256,5,218,20
256,5,219,26
256,5,220,21
256,5,221,25
256,5,222,22
256,5,223,25
256,5,224,24
256,5,225,20
256,5,226,25
256,5,227,21
256,5,228,25
256,5,229,21
256,5,230,24
256,5,231,22
256,5,232,25
256,5,233,22
256,5,234,25
256,5,235,21
256,5,236,24
256,5,237,26
256,5,238,25
256,5,239,25
256,5,240,21
256,5,241,24
256,5,242,21
256,5,243,25
256,5,244,20
256,5,245,25
256,5,246,20
256,5,247,24
256,5,248,20
256,5,249,22
256,5,250,25
256,5,251,25
256,5,252,22
256,5,253,25
256,5,254,25
256,5,255,25
256,5,256,26
256,5,257,20
256,5,258,25
256,5,259,22
256,5,260,26
256,5,261,21
256,5,262,19
256,5,263,17
256,5,264,16
256,5,265,25
256,5,266,21
256,5,267,19
256,5,268,17
256,5,269,16
256,5,270,26
256,5,271,25
256,5,272,20
256,5,273,24
256,5,274,20
256,5,275,25
256,5,276,21
256,5,277,23
256,5,278,25
256,5,279,26
256,5,280,25
256,5,281,24
256,5,282,21
256,5,283,23
256,5,284,25
256,5,285,26
256,5,286,26
256,5,287,26
256,5,288,25
256,5,289,19
256,5,290,25
256,5,291,24
256,5,292,24
256,5,293,25
256,5,294,19
256,5,295,24
256,5,296,24
256,5,297,22
256,5,298,24
256,5,299,24
256,5,300,21
256,5,301,26
256,5,302,21
256,5,303,24
256,5,304,20
256,5,305,25
256,5,306,17
256,5,307,18
256,5,308,25
256,5,309,26
256,5,310,21
256,5,311,24
256,5,312,21
256,5,313,25
256,5,314,21
256,5,315,25
256,5,316,25
256,5,317,21
256,5,318,24
256,5,319,21
256,5,320,26
256,5,321,21
256,5,322,25
256,5,323,24
256,5,324,20
256,5,325,24
256,5,326,21
256,5,327,25
256,5,328,21
256,5,329,25
256,5,330,21
256,5,331,24
256,5,332,24
256,5,333,23
256,5,334,19
256,5,335,26
256,5,336,24
256,5,337,19
256,5,338,18
256,5,339,16
256,5,340,24
256,5,341,25
256,5,342,20
256,5,343,26
256,5,344,26
256,5,345,24
256,5,346,26
256,5,347,21
256,5,348,17
256,5,349,15
256,5,350,16
256,5,351,25
256,5,352,21
256,5,353,25
256,5,354,21
256,5,355,25
256,5,356,24
256,5,357,25
256,5,358,25
256,5,359,24
256,5,360,21
256,5,361,26
256,5,362,25
256,5,363,18
256,5,364,25
256,5,365,24
256,5,366,24
256,5,367,22
256,5,368,24
256,5,369,22
256,5,370,25
