threads_per_block,region_dim,num_iterations,time
64,10,0,63
64,10,1,47
64,10,2,37
64,10,3,48
64,10,4,47
64,10,5,37
64,10,6,32
64,10,7,42
64,10,8,47
64,10,9,48
64,10,10,48
64,10,11,48
64,10,12,38
64,10,13,32
64,10,14,29
64,10,15,38
64,10,16,32
64,10,17,30
64,10,18,38
64,10,19,49
64,10,20,48
64,10,21,48
64,10,22,38
64,10,23,32
64,10,24,47
64,10,25,49
64,10,26,48
64,10,27,39
64,10,28,33
64,10,29,30
64,10,30,41
64,10,31,48
64,10,32,38
64,10,33,48
64,10,34,48
64,10,35,39
64,10,36,33
64,10,37,30
64,10,38,40
64,10,39,33
64,10,40,43
64,10,41,48
64,10,42,38
64,10,43,32
64,10,44,30
64,10,45,38
64,10,46,33
64,10,47,30
64,10,48,39
64,10,49,32
64,10,50,30
64,10,51,30
64,10,52,38
64,10,53,48
64,10,54,38
64,10,55,32
64,10,56,30
64,10,57,38
64,10,58,33
64,10,59,29
64,10,60,30
64,10,61,38
64,10,62,32
64,10,63,29
64,10,64,37
64,10,65,32
64,10,66,42
64,10,67,48
64,10,68,48
64,10,69,49
64,10,70,48
64,10,71,38
64,10,72,49
64,10,73,49
64,10,74,48
64,10,75,39
64,10,76,34
64,10,77,43
64,10,78,49
64,10,79,48
64,10,80,38
64,10,81,32
64,10,82,30
64,10,83,38
64,10,84,33
64,10,85,30
64,10,86,38
64,10,87,33
64,10,88,29
64,10,89,38
64,10,90,32
64,10,91,30
64,10,92,38
64,10,93,33
64,10,94,29
64,10,95,39
64,10,96,50
64,10,97,39
64,10,98,50
64,10,99,49
64,10,100,39
64,10,101,33
64,10,102,30
64,10,103,38
64,10,104,33
64,10,105,30
64,10,106,38
64,10,107,33
64,10,108,30
64,10,109,38
64,10,110,33
64,10,111,30
64,10,112,38
64,10,113,33
64,10,114,30
64,10,115,30
64,10,116,30
64,10,117,39
64,10,118,33
64,10,119,30
64,10,120,39
64,10,121,33
64,10,122,30
64,10,123,40
64,10,124,34
64,10,125,30
64,10,126,40
64,10,127,34
64,10,128,42
64,10,129,49
64,10,130,50
64,10,131,39
64,10,132,34
64,10,133,43
64,10,134,50
64,10,135,38
64,10,136,33
64,10,137,30
64,10,138,40
64,10,139,33
64,10,140,30
64,10,141,40
64,10,142,33
64,10,143,30
64,10,144,41
64,10,145,34
64,10,146,43
64,10,147,49
64,10,148,49
64,10,149,39
64,10,150,50
64,10,151,38
64,10,152,33
64,10,153,30
64,10,154,38
64,10,155,49
64,10,156,39
64,10,157,49
64,10,158,48
64,10,159,37
64,10,160,32
64,10,161,43
64,10,162,48
64,10,163,37
64,10,164,32
64,10,165,29
64,10,166,37
64,10,167,48
64,10,168,47
64,10,169,37
64,10,170,32
64,10,171,42
64,10,172,48
64,10,173,48
64,10,174,48
64,10,175,47
64,10,176,48
64,10,177,44
64,10,178,35
64,10,179,48
64,10,180,48
64,10,181,38
64,10,182,32
64,10,183,29
64,10,184,37
64,10,185,48
64,10,186,37
64,10,187,32
64,10,188,43
64,10,189,49
64,10,190,48
64,10,191,38
64,10,192,33
64,10,193,29
64,10,194,38
64,10,195,33
64,10,196,42
64,10,197,49
64,10,198,39
64,10,199,33
64,10,200,29
64,10,201,29
64,10,202,29
64,10,203,38
64,10,204,32
64,10,205,29
64,10,206,40
64,10,207,34
64,10,208,30
64,10,209,38
64,10,210,49
64,10,211,49
64,10,212,38
64,10,213,33
64,10,214,30
64,10,215,38
64,10,216,33
64,10,217,30
64,10,218,37
64,10,219,49
64,10,220,48
64,10,221,37
64,10,222,33
64,10,223,30
64,10,224,38
64,10,225,32
64,10,226,30
64,10,227,39
64,10,228,34
64,10,229,43
64,10,230,49
64,10,231,40
64,10,232,33
64,10,233,42
64,10,234,48
64,10,235,38
64,10,236,33
64,10,237,30
64,10,238,39
64,10,239,33
64,10,240,30
64,10,241,40
64,10,242,34
64,10,243,29
64,10,244,40
64,10,245,33
64,10,246,30
64,10,247,40
64,10,248,33
64,10,249,29
64,10,250,40
64,10,251,35
64,10,252,44
64,10,253,36
64,10,254,47
64,10,255,48
64,10,256,38
64,10,257,49
64,10,258,49
64,10,259,49
64,10,260,48
64,10,261,38
64,10,262,32
64,10,263,29
64,10,264,39
64,10,265,33
64,10,266,29
64,10,267,39
64,10,268,49
64,10,269,49
64,10,270,48
64,10,271,38
64,10,272,32
64,10,273,29
64,10,274,37
64,10,275,48
64,10,276,48
64,10,277,49
64,10,278,48
64,10,279,38
64,10,280,32
64,10,281,30
64,10,282,37
64,10,283,48
64,10,284,48
64,10,285,37
64,10,286,32
64,10,287,42
64,10,288,48
64,10,289,38
64,10,290,48
64,10,291,48
64,10,292,39
64,10,293,33
64,10,294,42
64,10,295,35
64,10,296,46
64,10,297,37
64,10,298,49
64,10,299,49
64,10,300,39
64,10,301,33
64,10,302,42
64,10,303,48
64,10,304,38
64,10,305,32
64,10,306,29
64,10,307,38
64,10,308,48
64,10,309,48
64,10,310,38
64,10,311,32
64,10,312,43
64,10,313,49
64,10,314,38
64,10,315,49
64,10,316,48
64,10,317,48
64,10,318,38
64,10,319,32
64,10,320,29
64,10,321,39
64,10,322,32
64,10,323,29
64,10,324,39
64,10,325,49
64,10,326,48
64,10,327,37
64,10,328,32
64,10,329,43
64,10,330,48
64,10,331,48
64,10,332,48
64,10,333,38
64,10,334,32
64,10,335,29
64,10,336,38
64,10,337,48
64,10,338,48
64,10,339,38
64,10,340,33
64,10,341,30
64,10,342,38
64,10,343,32
64,10,344,42
64,10,345,48
64,10,346,37
64,10,347,49
64,10,348,49
64,10,349,49
64,10,350,49
64,10,351,49
64,10,352,48
64,10,353,48
64,10,354,38
64,10,355,32
64,10,356,29
64,10,357,39
64,10,358,33
64,10,359,30
64,10,360,39
64,10,361,48
64,10,362,48
64,10,363,47
64,10,364,49
64,10,365,38
64,10,366,32
64,10,367,29
64,10,368,38
64,10,369,48
64,10,370,48
64,10,371,38
64,10,372,32
64,10,373,30
64,10,374,38
64,10,375,35
64,10,376,30
64,10,377,40
64,10,378,48
64,10,379,49
64,10,380,49
64,10,381,48
64,10,382,38
64,10,383,32
64,10,384,29
