THREADS_PER_BLOCK,DIM_SIZE,num_iterations,time
8,5,0,38
8,5,1,15
8,5,2,14
8,5,3,14
8,5,4,13
8,5,5,13
8,5,6,13
8,5,7,13
8,5,8,13
8,5,9,13
8,5,10,13
8,5,11,12
8,5,12,13
8,5,13,13
8,5,14,12
8,5,15,13
8,5,16,12
8,5,17,13
8,5,18,13
8,5,19,12
8,5,20,12
8,5,21,12
8,5,22,12
8,5,23,12
8,5,24,13
8,5,25,12
8,5,26,12
8,5,27,12
8,5,28,12
8,5,29,13
8,5,30,12
8,5,31,12
8,5,32,12
8,5,33,12
8,5,34,12
8,5,35,12
8,5,36,12
8,5,37,12
8,5,38,12
8,5,39,12
8,5,40,11
8,5,41,12
8,5,42,12
8,5,43,12
8,5,44,12
8,5,45,12
8,5,46,12
8,5,47,11
8,5,48,11
8,5,49,11
8,5,50,11
8,5,51,11
8,5,52,11
8,5,53,11
8,5,54,12
8,5,55,11
8,5,56,12
8,5,57,11
8,5,58,12
8,5,59,11
8,5,60,11
8,5,61,11
8,5,62,11
8,5,63,11
8,5,64,11
8,5,65,11
8,5,66,11
8,5,67,11
8,5,68,11
8,5,69,11
8,5,70,10
8,5,71,10
8,5,72,10
8,5,73,10
8,5,74,11
8,5,75,11
8,5,76,11
8,5,77,11
8,5,78,11
8,5,79,11
8,5,80,10
8,5,81,10
8,5,82,10
8,5,83,11
8,5,84,10
8,5,85,10
8,5,86,10
8,5,87,10
8,5,88,10
8,5,89,10
8,5,90,10
8,5,91,10
8,5,92,10
8,5,93,10
8,5,94,10
8,5,95,10
8,5,96,10
8,5,97,10
8,5,98,9
8,5,99,9
8,5,100,10
8,5,101,9
8,5,102,10
8,5,103,10
8,5,104,10
8,5,105,10
8,5,106,10
8,5,107,10
8,5,108,10
8,5,109,10
8,5,110,9
8,5,111,9
8,5,112,10
8,5,113,10
8,5,114,10
8,5,115,10
8,5,116,10
8,5,117,9
8,5,118,9
8,5,119,9
8,5,120,9
8,5,121,10
8,5,122,10
8,5,123,10
8,5,124,10
8,5,125,9
8,5,126,9
8,5,127,10
8,5,128,9
8,5,129,9
8,5,130,9
8,5,131,10
8,5,132,9
8,5,133,9
8,5,134,10
8,5,135,10
8,5,136,9
8,5,137,9
8,5,138,10
8,5,139,10
8,5,140,10
8,5,141,10
8,5,142,10
8,5,143,10
8,5,144,9
8,5,145,9
8,5,146,10
8,5,147,10
8,5,148,10
8,5,149,11
8,5,150,10
8,5,151,10
8,5,152,10
8,5,153,10
8,5,154,10
8,5,155,10
8,5,156,10
8,5,157,11
8,5,158,10
8,5,159,10
8,5,160,10
8,5,161,10
8,5,162,10
8,5,163,10
8,5,164,10
8,5,165,10
8,5,166,10
8,5,167,10
8,5,168,10
8,5,169,10
8,5,170,10
8,5,171,10
8,5,172,10
8,5,173,10
8,5,174,10
8,5,175,10
8,5,176,10
8,5,177,9
8,5,178,9
8,5,179,9
8,5,180,9
8,5,181,9
8,5,182,9
8,5,183,9
8,5,184,10
8,5,185,10
8,5,186,10
8,5,187,10
8,5,188,9
8,5,189,10
8,5,190,10
8,5,191,10
8,5,192,10
8,5,193,9
8,5,194,10
8,5,195,10
8,5,196,10
8,5,197,9
8,5,198,9
8,5,199,9
8,5,200,9
8,5,201,9
8,5,202,9
8,5,203,9
8,5,204,9
8,5,205,9
8,5,206,10
8,5,207,10
8,5,208,10
8,5,209,10
8,5,210,10
8,5,211,10
8,5,212,10
8,5,213,9
8,5,214,9
8,5,215,9
8,5,216,9
8,5,217,9
8,5,218,10
8,5,219,10
8,5,220,10
8,5,221,9
8,5,222,9
8,5,223,9
8,5,224,9
8,5,225,9
8,5,226,9
8,5,227,9
8,5,228,10
8,5,229,10
8,5,230,10
8,5,231,9
8,5,232,9
8,5,233,9
8,5,234,10
8,5,235,9
8,5,236,9
8,5,237,9
8,5,238,10
8,5,239,10
8,5,240,10
8,5,241,10
8,5,242,10
8,5,243,10
8,5,244,10
8,5,245,10
8,5,246,10
8,5,247,10
8,5,248,10
8,5,249,10
8,5,250,10
8,5,251,10
8,5,252,10
8,5,253,10
8,5,254,9
8,5,255,9
8,5,256,9
8,5,257,9
8,5,258,10
8,5,259,10
8,5,260,10
8,5,261,10
8,5,262,10
8,5,263,10
8,5,264,9
8,5,265,10
8,5,266,10
8,5,267,10
8,5,268,10
8,5,269,10
8,5,270,10
8,5,271,10
8,5,272,10
8,5,273,10
8,5,274,10
8,5,275,10
8,5,276,10
8,5,277,10
8,5,278,9
8,5,279,9
8,5,280,9
8,5,281,10
8,5,282,10
8,5,283,9
8,5,284,9
8,5,285,9
8,5,286,9
8,5,287,10
8,5,288,10
8,5,289,10
8,5,290,10
8,5,291,9
8,5,292,9
8,5,293,10
8,5,294,10
8,5,295,9
8,5,296,10
8,5,297,10
8,5,298,10
8,5,299,10
8,5,300,10
8,5,301,10
8,5,302,9
8,5,303,9
8,5,304,9
8,5,305,9
8,5,306,10
8,5,307,10
8,5,308,10
8,5,309,10
8,5,310,10
8,5,311,10
8,5,312,10
8,5,313,10
8,5,314,10
8,5,315,10
8,5,316,10
8,5,317,10
8,5,318,10
8,5,319,10
8,5,320,10
8,5,321,10
8,5,322,10
8,5,323,10
8,5,324,10
8,5,325,10
8,5,326,10
8,5,327,10
8,5,328,10
8,5,329,9
8,5,330,10
8,5,331,10
8,5,332,10
8,5,333,10
8,5,334,9
8,5,335,10
8,5,336,10
8,5,337,10
8,5,338,10
8,5,339,10
8,5,340,10
8,5,341,10
8,5,342,10
8,5,343,9
8,5,344,10
8,5,345,10
8,5,346,11
8,5,347,10
8,5,348,10
8,5,349,10
