THREADS_PER_BLOCK,DIM_SIZE,avg_time,num_iterations
256,5,9.35508394,3156
1024,50,9.380999505,2020
32,5,9.387378143,1948
256,50,9.387532694,2293
8,50,9.411032627,2972
128,5,9.568680391,2962
128,50,9.575150301,2993
512,5,9.579345088,2381
16,50,9.604814815,2269
512,50,9.62310231,1514
32,50,9.649776453,2012
64,50,9.664846077,2013
1024,5,9.692908466,3200
16,5,9.805202312,1729
8,5,9.81584772,2258
64,5,9.912436925,3368
256,0,10.57285974,2195
8,0,10.76793893,1964
512,0,10.78730905,2552
128,0,10.852194,1731
32,0,10.90039841,1505
16,0,10.91325468,1440
1024,0,11.08340728,2253
64,0,11.71428571,1595
